Molecule,is_valid,is_active,lipinski
CN(C[C@H]1CCN1CCn1cccn1)C(=O)CS(C)(=O)=O,1,1,True
Cc1nc2n(n1)C[C@H](NC(=O)[C@@H]1C[C@H]1c1ccc(F)c(F)c1)CC2,1,1,True
CC(=O)NCC(=O)N1CC[C@H]2CN(CCCO)C[C@H]21,1,1,True
CO[C@H]1CC[C@H](C(=O)N[C@H]2C[C@@H](NCc3nnc4n3CCCC4)C2)C1,1,1,True
C=CCN1C[C@H](O)[C@@H](CNC(=O)c2ccc(=O)n(CCOC)n2)C1,1,1,True
Cc1cnc(CN2C[C@@H](CNC(=O)CCNS(C)(=O)=O)[C@H](C)C2)o1,1,1,True
CN(C[C@@H]1CCN1Cc1nnn(C)n1)C(=O)COCCN(C)C,1,1,True
Cc1ncoc1C(=O)N1C[C@@H]2CCC[C@@H](NCC(N)=O)[C@@H]2C1,1,1,True
CC(=O)NCC(=O)N1C[C@H]2C[C@]2(C(=O)N(C)CCF)C1,1,1,True
CC(C)(C)[C@@H](O)c1nnc([C@H](Cc2ccccc2)NC2CC2)o1,1,1,True
Cc1conc1CN1CC[C@@H]2CN(C(=O)[C@@H]3CC=CCC3)CC[C@@H]21,1,1,True
CC(=O)N1[C@H]2CC[C@H]1CN(CC(=O)Nc1cc([C@H](C)CCC)[nH]n1)C2,1,1,True
Cn1nc(C(=O)N2CCN3C[C@H](O)C[C@H]3C2)ccc1=O,1,1,True
C[C@@H](NCc1nc(=O)n(C)[nH]1)c1ccc(C(F)(F)F)cc1,1,1,True
CN(CCNC(=O)[C@@H]1C[C@H]1c1cccnc1)Cc1nccn1C,1,1,True
CC(C)(C)C(=O)N1CC[C@H](CNC(=O)CCCn2cncn2)C1,1,1,True
CN(C)CCCS(=O)(=O)NCc1nc(C2CC2)no1,1,1,True
COc1ncc(F)cc1CN1CC[C@H](OC(=O)N(C)C)C1,1,1,True
CN1[C@H]2COC[C@@H]1CC(Oc1ccc(OC(F)(F)F)cc1)C2,1,1,True
C[C@H]1CC[C@H](CC(=O)NC2[C@H]3CN(C(=O)c4nnn(C)n4)C[C@H]23)C1,1,1,True
CCS(=O)(=O)CC(=O)N[C@@H]1CCN(CCO)C[C@H]1O,1,1,True
C[C@@H]1CN(C(=O)Cn2cnnn2)CC[C@@H]1NCc1cnnn1C,1,1,True
Cc1cnn(CC(=O)N[C@H]2C[C@H](NCc3cnnn3C)C2)c1,1,1,True
CC[C@H](C)C(=O)N1C[C@H]2[C@@H](C1)[C@@H]2NC(=O)[C@@H](C)c1ccnn1C,1,1,True
CO[C@@H]1CN(C(=O)c2cnc(N(C)C)cn2)C[C@@H]1N1CCCC1,1,1,True
CN(C)C(=O)CN1C[C@H](NC(=O)c2ccc3nncn3c2)C(C)(C)C1,1,1,True
Cn1ncnc1CN[C@@H]1CCN(C(=O)c2ccc(C(C)(F)F)[nH]2)[C@@H](O)C1,1,1,True
C=CCn1cc(C(=O)NC[C@H]2C[C@H](NCc3csc(C)c3)C2)nn1,1,1,True
Cc1cnc(CN[C@H]2CN(C(=O)c3ccc(F)c(F)c3)C[C@@H]2C)o1,1,1,True
CC(C)(C)n1nnc(CNCCNC(=O)[C@@H]2CCC(=O)N2C)n1,1,1,True
CN(C(=O)[C@]1(C)CCNC1=O)[C@H]1CN(Cc2ccn(C)n2)C[C@@H]1O,1,1,True
C=CCOC[C@H](O)CN1CCC[C@H](n2cccn2)C1,1,1,True
C=CCn1c(CO)nnc1N1CCC[C@H](n2ccnn2)C1,1,1,True
Cc1noc(CCCC(=O)N2CC[C@H]2CNC(=O)[C@@H]2CCOC2)n1,1,1,True
Cn1ncc(CNC[C@@H]2CCCCN2C(=O)C2[C@H]3CCC[C@H]23)n1,1,1,True
CC[C@]1(C)C[C@H]1C(=O)NC[C@H]1C[C@@H](NCc2csnn2)C1,1,1,True
C[C@](O)(Cn1cc3c(n1)C[C@@H](O)CC3)C(F)(F)F,1,1,True
COc1cc(NC(=O)N[C@H]2C[C@H]2[C@@H]2CCCO2)ccc1F,1,1,True
C=CCN1CC[C@@H](n2cc(CNC(=O)[C@H](CC)OC)nn2)C1,1,1,True
CCC(=O)NC[C@]1(O)CCN(Cc2nc(=O)n(C)[nH]2)C1,1,1,True
Cn1nncc1C(=O)N1CC(NC(=O)Cn2cc(C3CC3)nn2)C1,1,1,True
CN1CCO[C@]2(CCCN(Cc3cccc4ccsc43)C2)C1,1,1,True
C=CCN1CC[C@](C)(NC(=O)[C@@H](C)c2cc3ccccc3o2)C1,1,1,True
CC(C)C[C@H](C(N)=O)C(=O)N1CC[C@@H](NCc2nnc3n2CCOC3)C1,1,1,True
CCn1ncnc1CN1CC[C@@H](N(C)C(=O)C2[C@@H]3CCC[C@@H]23)C1,1,1,True
CCO[C@@H]1C[C@@H]1C(=O)N(C)C1CN(Cc2ncc(C)cn2)C1,1,1,True
Cc1ccc(CN2[C@@H]3CC[C@H]2[C@@H](NC(=O)Cc2nc[nH]n2)C3)cc1,1,1,True
COc1cncc(C(=O)N2CC[C@H]3OCCN(CC(N)=O)[C@@H]3C2)n1,1,1,True
C[C@H](CNc1cncc(C(=O)N(C)C)n1)N(C)C(=O)[C@@H]1C[C@@H]1C1CC1,1,1,True
C[C@@H](CCSc1ccccc1)OC(=O)C[C@@H]1CC[C@@H]2C[C@H]2C1,1,1,True
CCc1ncncc1C(=O)N[C@@H]1C[C@H]2C[C@@H](C1)N(c1nc(C)ns1)C2,1,1,True
C[C@H](C(=O)N1CC[C@@H]2CCN(C(=O)C3CCCC3)C[C@@H]21)n1cncn1,1,1,True
C/C(=C/C(=O)N[C@@H]1CN(Cc2nncn2C)C[C@H]1C)C1CC1,1,1,True
C[C@@H]1CN(C(=O)Cn2ncnn2)CC[C@@H]1NCc1cnn(C)n1,1,1,True
C[C@H]1CN(C(=O)c2cocn2)C[C@H]1CNCc1nnnn1C,1,1,True
CC(C)n1ccc(CN2CCC[C@@H](NC(=O)[C@@H]3CC[C@@H]4C[C@@H]4C3)C2)n1,1,1,True
Cn1ncnc1CN1C[C@@H]2C(NC(=O)CO[C@@H]3CCOC3)[C@H]2C1,1,1,True
Cc1nnc([C@@H](C)NC[C@@H](NC(=O)[C@H]2CCCO[C@H]2C)C2CC2)o1,1,1,True
CC(=O)N1CC(C(=O)NCC2[C@@H]3CN([C@@H](C)C(N)=O)C[C@@H]23)C1,1,1,True
CCc1noc(CC)c1CC(=O)N[C@]12CCC[C@H]1CN(CC#N)C2,1,1,True
CN1CC[C@H](C(=O)NC[C@@H]2C[C@H](NC(=O)c3cc(=O)n(C)o3)C2)C1,1,1,True
C[C@@]1(NC(=O)Cn2cnnn2)CCN(Cc2ncnn2CC(F)F)C1,1,1,True
C[C@H]1C[C@H](Nc2cc(N)n(-c3cccc(F)c3)n2)CCN1C,1,1,True
CN1CCOC[C@H]1[C@@H]1CCCN(C(=O)Cn2cnc(-c3nn[nH]n3)n2)C1,1,1,True
CN(CCN1CCn2nncc2C1)C(=O)CCCC(=O)N(C)C,1,1,True
CCO[C@@H]1COC[C@H]1NC(=O)N[C@H]1CCN(c2ccccn2)C1,1,1,True
CN(C)CCC(=O)N1CCO[C@@H]2CN(CCON)C[C@@H]21,1,1,True
CC(C)(C(=O)NC[C@H]1COCCN1CCO)S(C)(=O)=O,1,1,True
C=C/C(C)=C/CC(=O)N1CCCC[C@@H]1CN(C)C[C@H](O)COC,1,1,True
CN1CCC[C@H]1[C@H]1CCCN1C(=O)[C@@H]1C[C@H]1c1ccco1,1,1,True
C#CCCN1CC[C@@H]2OCCN(C(=O)c3ccn(C)n3)[C@@H]2C1,1,1,True
C/C=C(\C)C(=O)N1C[C@H]2CC[C@@H](C1)N2Cc1cncc(OC)c1,1,1,True
C[C@H](c1cccc(-c2nn[nH]n2)c1)N1C[C@@H](C)N2C[C@H](C)C[C@H]2C1,1,1,True
COc1ccccc1OCCN1CCOc2c(F)c(F)ccc2C1,1,1,True
C[C@@H]1CCO[C@@H]1C(=O)N1CCC[C@@H](CN(C)C(=O)c2cocn2)C1,1,1,True
CC[C@H](CC(=O)N[C@@H]1[C@H]2CN(CCO)C[C@H]21)c1ccccc1,1,1,True
CCn1nncc1CN1CC[C@@H]1CNC(=O)[C@@H]1C[C@H]2CCCCN2C1,1,1,True
Cn1cc(CNCCCNC(=O)[C@H]2C[C@H]2C(N)=O)nn1,1,1,True
C[C@H](N[C@@H]1CCN(C(=O)CN(C)S(C)(=O)=O)C1)c1nnnn1C,1,1,True
C[C@H](c1nnnn1C)N1CCN([C@@H]2CCS(=O)(=O)C2)CC1,1,1,True
CC#CCN[C@@H]1C[C@@H](NC(=O)Cc2nc[nH]n2)C12CCC2,1,1,True
CC(C)COCCN1C[C@@H]2C(NC(=O)c3cnco3)[C@H]2C1,1,1,True
CCc1cnc(CNCCCOCCNC(=O)c2ccccn2)o1,1,1,True
CN(C[C@@H](O)CNC(=O)Cn1ncn(C)c1=O)C(=O)C[C@H]1CCOC1,1,1,True
C[C@@H](c1nnnn1C1CC1)N1CC[C@H](Sc2ncc(C#N)cn2)C1,1,1,True
CN(Cc1ccsc1)[C@H]1CN(C(=O)OC(C)(C)C)C[C@@H]1n1ccnn1,1,1,True
Cc1cnc(C(=O)NC[C@H]2CN([C@@H]3CCN(C)C3=O)CCO2)cn1,1,1,True
CCc1n[nH]cc1C(=O)NCC1[C@@H]2CN(Cc3nnnn3C)C[C@@H]12,1,1,True
CO[C@@H](C)CNC(=O)C(=O)N1CCO[C@@H](c2nc(C3CC3)no2)C1,1,1,True
CN(CCNC(=O)C1C=CC=CC=C1)c1ccc(C(F)(F)F)nn1,1,1,True
CCCc1nc(CN2C[C@H]3[C@@H](C2)[C@@H]3NC(=O)[C@H]2CCNC(=O)C2)no1,1,1,True
Cc1nn[nH]c1C(=O)NC[C@]1(O)CCN(C(=O)CC(C)(C)C)C1,1,1,True
C=CCNC(=O)CN1C[C@H](C(=O)OCC)[C@@H](c2ccccc2)C1,1,1,True
CCCOCC(=O)N1[C@@H]2CC[C@H]1C[C@@H](CNC(=O)CN(C)C)C2,1,1,True
CC(C)(CNC(=O)N[C@@H]1C[C@@H]2CC[C@H]1O2)N1CCOCC1,1,1,True
C[C@@H]1C[C@H](CO)CN(C(=O)[C@]23CNC[C@H]2CCC3)C1,1,1,True
CCC[C@@H]1C[C@H]1C(=O)N1CC[C@H]2CCN(Cc3nc(C)no3)[C@H]2C1,1,1,True
C[C@@H](CNC(=O)c1cn(C)c(=O)n1C)N(C)Cc1nnc(C2CC2)o1,1,1,True
Cn1nccc1CNC[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccnnc1,1,1,True
C[C@@H](C(=O)N1CC(N(C)C(=O)Cn2nccn2)C1)S(C)(=O)=O,1,1,True
Cc1ncc(CN2CC[C@@]3(NC(=O)Cn4ncnn4)CCC[C@H]23)o1,1,1,True
C[C@H]1CN2CCN1C[C@H]2C(=O)N1C[C@@H](C)[C@H](C(=O)OC(C)(C)C)C1,1,1,True
C=CCn1cc(C(=O)NC[C@@H]2CN(C(=O)[C@@H](C)CC)CCCO2)nn1,1,1,True
C[C@@H]1C[C@H](CF)N(C(=O)[C@H]2CN(C)C[C@H]2c2ccc(F)c(F)c2)C1,1,1,True
C#CCNC(=O)CN1CC[C@H]1CN(C)C(=O)Cc1nc[nH]n1,1,1,True
CCO[C@@H](CN[C@H]1C[C@H](NC(=O)c2cccn3nnnc23)C1)C1CC1,1,1,True
C[C@@H](Cc1c(F)cccc1F)N[C@@H]1CNCCC1(F)F,1,1,True
Cn1nnc(CN[C@H]2CCN(C(=O)[C@H]3CCCN3C)[C@H](C(N)=O)C2)n1,1,1,True
CCNC(=O)CN1C[C@H]2C(NC(=O)CC[C@@H](C)c3ccccc3)[C@@H]2C1,1,1,True
C[C@H]1C[C@@H]1c1nnc(NCCc2nc(C(C)(C)C)no2)n1C,1,1,True
C=C(C)CCN1CC[C@H]([C@@H]2CCCO2)C1,1,1,True
Cc1cc(=O)n(CC(=O)NC[C@H](C)N[C@@H](C)c2cnnn2C)cn1,1,1,True
CN(C[C@H]1CCN1Cc1ncnn1C)C(=O)c1c[nH]c(=O)cn1,1,1,True
CC(C)OC(=O)c1cn([C@@H]2CC[C@@H](C)[C@H](C)C2)nn1,1,1,True
CNC(=O)CC(=O)N[C@H]1C[C@H](CNc2ccc3nnnn3n2)C1,1,1,True
Cn1ncnc1CNCCNC(=O)[C@@H]1C[C@H]1C1CCC1,1,1,True
CCCc1cc(N2C[C@H]3C[C@H]2CN3C(=O)c2cnc(C)[nH]2)nc(C)n1,1,1,True
CC(C)CN(C)C(=O)C(=O)N[C@@H]1C[C@@H](C)n2ncnc21,1,1,True
COc1ccccc1OCCN(C)c1cnc2cc(F)c(F)cc2n1,1,1,True
CNC(=O)[C@H](C)N1CC[C@H]1CNC(=O)c1ccnc(-c2ncccn2)c1,1,1,True
CCOc1ccnc(N2CCO[C@]3(CCO[C@H]3C3CC3)C2)n1,1,1,True
CC(C)c1coc(CNC(=O)N2CCC[C@@H]3C[C@H]32)n1,1,1,True
CO[C@@](C)(CN[C@H](C)CC(F)F)c1ccccc1F,1,1,True
C[C@@H]1C[C@H](C(C)(C)C)CCN1Cc1cc(=O)n2ccsc2n1,1,1,True
Cn1cc([C@H]2C[C@H](NC(=O)N[C@@H](C3CC3)[C@@H]3CCCO3)CC2)cn1,1,1,True
CNC(=O)CC(=O)N[C@H]1C[C@H](CNc2nccn3nnnc23)C1,1,1,True
CN1C(=O)N[C@@]2(CCC[C@H]2OCCn2cc3ccccc3n2)C1=O,1,1,True
C=C(C)CCN1CC([C@@H](C)NC(=O)c2cnnn2C)C1,1,1,True
CC(C)CN1CC[C@H](CNC(=O)c2cnc(N(C)C)cn2)C1,1,1,True
CN(C)CCC(=O)N1C[C@@H](NCc2nncn2C)[C@@H](n2ccnn2)C1,1,1,True
Cn1nncc1C(=O)N1CC[C@H]2[C@H](CCN2C(=O)C(N)=O)C1,1,1,True
CCc1ncncc1C(=O)NCC1[C@H]2CN(C(=O)CC(C)C)C[C@H]12,1,1,True
C=C/C(C)=C/CC(=O)N[C@H]1CC[C@H](CNC(=O)c2ccnn2C)CC1,1,1,True
C[C@@H]1[C@@H](NCc2ncccn2)CCN1C(=O)[C@@H]1C[C@H]1C1CC1,1,1,True
CCc1cnc(CNC/C=C/CNC(=O)[C@@H]2C[C@@H]3O[C@H]2[C@H]2C[C@H]23)o1,1,1,True
Cn1cc(CCN2CC[C@H]2CNC(=O)c2cnon2)cn1,1,1,True
CN(C)C(=O)[C@H]1CC[C@H](NC(=O)NCCn2nnnc2-c2ccccc2)C1,1,1,True
C[C@H]1C[C@H](C)[C@H](C(=O)NC[C@H]2CC[C@@H](c3nc[nH]n3)O2)O1,1,1,True
CCO[C@H]1CCC[C@@H]1NCc1cn2c(cccc2C)n1,1,1,True
C/C=C(/C)C(=O)N1CC[C@@H]2OCCN(CCCF)[C@H]2C1,1,1,True
Cn1cnc(C(=O)N[C@@H]2CCC[C@H]2CNc2ncc(F)cn2)c1,1,1,True
Cn1nnnc1CNC[C@@H]1CCN(C(=O)C[C@@H]2CC(=O)NC2=O)C1,1,1,True
CC(=O)N[C@](C)(C(=O)N1CCC[C@H](n2cncn2)C1)C(F)C,1,1,True
CC(C)=CCN[C@@H]1C[C@]2(CN(C(=O)[C@H]3C[C@@H](C)COC3)[C@H]2C(C)C)C[C@H]1O,1,1,True
CC[C@@H](C)C(=O)N[C@@H]1CN(Cc2nnc(C)o2)C[C@H]1C,1,1,True
C#CCC[C@H](C)C(=O)N[C@@H]1C[C@H]2CC[C@@H]1N2CCOC,1,1,True
C[C@@H]1CN(C(=O)C2(C(N)=O)CC2)C[C@H]1NC[C@@H]1CCc2ncnn21,1,1,True
CC[C@H](C)C(=O)N1CCC[C@H]2CN(Cc3cnnn3C)C[C@H]21,1,1,True
CNC(=O)c1ccnc(NC[C@H]2CN3CCC[C@@H]3CO2)n1,1,1,True
Cn1cc(CN2CCN([C@@H]3C[C@H]4CC[C@H]3O4)CC2)nn1,1,1,True
CN1CC[C@H](C(=O)N[C@H]2COC3(CN(C(=O)c4cnon4)C3)C2)C1,1,1,True
C[C@H](CNC(=O)[C@@H]1Cc2cccc(F)c2O1)C(C)(C)C,1,1,True
Cn1cnc(C(=O)NC[C@@H]2CCN2Cc2nnn(C)n2)n1,1,1,True
Cn1nnnc1CN1[C@H]2CC[C@H]1CN(C(=O)[C@H]1[C@@H]3COC[C@@H]31)C2,1,1,True
COc1ccc(C(=O)N2CC[C@H]3CCN(C(=O)c4ccco4)[C@@H]3C2)o1,1,1,True
Cn1cc(C(=O)N[C@@H]2CC[C@H]3CN(Cc4nccn4C)C[C@H]3C2)nc1O,1,1,True
Cc1ncc(CC(=O)N2[C@H]3CC[C@H]([C@H](O)CCC(C)C)C[C@H]23)o1,1,1,True
CCSCC[C@H](C)NC(=O)C[C@@H]1CC[C@H]2C[C@@H]21,1,1,True
CCCCN[C@@H]1C[C@H]2C[C@@H](C1)N(C(=O)c1ncoc1C(C)C)C2,1,1,True
CC(=O)N[C@@H]1C[C@H]2CC[C@@H]1N2CCOCC(C)C,1,1,True
C[C@@H]1C[C@@H]1C(=O)NCCNCc1nnc(C2CC2)n1C,1,1,True
Cc1cnc(C(=O)NCC2[C@H]3CN(C(=O)CC(=O)N(C)C)C[C@H]23)cn1,1,1,True
C[C@@H](CN[C@H]1CCN(C)C1=O)N(C)C(=O)Cn1cnnn1,1,1,True
Cn1cnc(C(=O)NC[C@@H]2CCN2C(=O)[C@@H]2C[C@H]3CC[C@@H]2O3)c1,1,1,True
CCc1nocc1CN1CC[C@H](NC(=O)C(C)C)[C@@H](O)C1,1,1,True
CC(C)c1nnc(CN2CC[C@@H](NC(=O)C[C@@H]3CCN(C)C3)C2)o1,1,1,True
CC[C@@H]1C[C@@H](NCc2cnc3ccccc3n2)CCO1,1,1,True
Cn1ncc(CN2CC(CNC(=O)c3cnn[nH]3)C2)nc1=O,1,1,True
C[C@]1(CN[C@@H]2C[C@@H](OCc3ccccc3)C23CCC3)CCOC1,1,1,True
Cc1noc(C[C@@H]2C[C@H]2C(=O)OC[C@@H]2CCCN2C(C)C)n1,1,1,True
CC(C)OCn1cccc(C(=O)NC[C@H]2CCO[C@H](C(C)(C)C)C2)c1=O,1,1,True
CC[C@@H]1CN(CCc2cc(F)cc(F)c2)C[C@H](C)O1,1,1,True
CN1C[C@@]2(F)CN(C(=O)[C@@H]3NC[C@@H]4CC[C@H]3C4)C[C@@]2(F)C1=O,1,1,True
C=CCn1c([C@@H]2C[C@H]2C)nnc1N1CC[C@H](C2CC2)C1,1,1,True
Cc1nnsc1CN1C[C@H]2CN(C(=O)c3cnn[nH]3)C[C@H]2C1,1,1,True
C[C@H]1C[C@H](NC(=O)CCn2cnnn2)CCN1c1cncc(C#N)n1,1,1,True
CC[C@@H]1OCC[C@H]1C(=O)N[C@H]1[C@H]2CN(C(=O)Cn3cncn3)C[C@H]21,1,1,True
CCC[C@@H](OC)C(=O)N1[C@H]2CC[C@H]1CN(Cc1ncccn1)C2,1,1,True
C[C@@H](CNC(=O)c1cnc(C2OCCO2)s1)N1CCN(C)CC1,1,1,True
C=CCCN1C[C@@H](O)[C@@H](CNC(=O)Cc2cc(F)ccc2OC)C1,1,1,True
Cn1cnc(C(=O)N2CC(NC(=O)[C@]34C[C@H]3CCN4Cc3cn[nH]c3)C2)n1,1,1,True
CC(=O)N1[C@H]2CC[C@H]1[C@@H](CNC(=O)[C@@H]1CC[C@H](C)C1)C2,1,1,True
Cn1nnnc1CN1CC[C@@](O)(CNC(=O)CCCC(N)=O)C1,1,1,True
CCCC[C@@H](C)C(=O)NC[C@H]1CN(c2ncnc3ccccc32)CCO1,1,1,True
CCS(=O)(=O)NCCN1CC[C@@H](NC(=O)c2cnn[nH]2)C1,1,1,True
C[C@H](C(=O)N1CC[C@@H]2CN(C(=O)Cn3cnnn3)[C@@H]2C1)n1cncn1,1,1,True
CCc1ocnc1C(=O)NC1[C@@H]2CN(C[C@H](C)CC)C[C@@H]12,1,1,True
CCS(=O)(=O)CCCN1CCC[C@@H]1CNC(=O)c1ocnc1C,1,1,True
C[C@H]1CC[C@H](C(=O)N2CC[C@H](N(C)C(=O)c3ccon3)C2)C1,1,1,True
C[C@@H](CCCC(F)(F)F)NC[C@@H]1CN(C)CCO1,1,1,True
CN(CCNS(C)(=O)=O)C[C@H]1CCN(C(=O)c2cncn2C)C1,1,1,True
C#CCCN1C[C@H]2C[C@H]3[C@@H](C1)[C@@H]3N(C(=O)c1c(C)cnn1CC)C2,1,1,True
Cc1ncoc1C(=O)N[C@@H](C)C1CN(C(=O)[C@]23C[C@H]2COC3)C1,1,1,True
C[C@H](O)CN1CCO[C@@H](CNC(=O)c2ccc3nnn(C)c3c2)C1,1,1,True
CC(C)CN1CC[C@@](O)(CNC(=O)c2occ3c2CCOC3)C1,1,1,True
Cn1ccc(C(=O)NC2[C@@H]3CN([C@@H]4CCCN(C)C4=O)C[C@@H]23)n1,1,1,True
CN(C)[C@H]1CN(C(=O)C(=O)NCCCCn2ccnc2)C[C@H]1n1ccnn1,1,1,True
Cc1nc(O)[nH]c1C(=O)N1C[C@H]2C[C@@H]3CN(C)C[C@]3(C1)O2,1,1,True
COc1cc([C@H](C)NC(=O)N2C[C@@H]3C[C@@H]3C2)ccn1,1,1,True
C[C@@H]1C[C@]1(C)C(=O)N1C[C@@H](C)[C@H](c2ccccc2)C1,1,1,True
C#CCCN1CCO[C@](C)(CNC(=O)C[C@H]2COC(=O)C2)C1,1,1,True
C[C@@H]1C(=O)N(O)C[C@]12CN(c1ncnc3c1nnn3C)CCO2,1,1,True
C=C(C)CN1CC[C@]2(CCN(Cc3ccc(COC)o3)C2)C1=O,1,1,True
CCC[C@H](C)CC(=O)N[C@@H]1[C@H]2CN(CCCOCC)C[C@H]21,1,1,True
CC(C)c1ccc(CC(=O)NCCN(C)C[C@@H]2C[C@]23CCOC3)cc1,1,1,True
C[C@H]1CCN(Cc2cc(-c3ccn(C)n3)on2)C[C@H]1C(=O)O,1,1,True
CCn1cc(CN2CCOC[C@H]2CNC(=O)C2CS(=O)(=O)C2)nn1,1,1,True
C[C@@H](CCNC(=O)CS(C)(=O)=O)Nc1ncnc2ccccc21,1,1,True
Cc1ncc(CN2C[C@H]3C(CNC(=O)C[C@H]4CCC(=O)N4C)[C@@H]3C2)o1,1,1,True
CN(C)C(=O)Cn1cc(-c2ccc(C(F)(F)F)nc2)nn1,1,1,True
CC(C)N(C)C[C@@H](O)CN[C@H]1CCC[C@H](n2ncnn2)C1,1,1,True
C[C@H](CNC(=O)N1CC[C@@H]2COC[C@@H]2C1)N(C)C1CC1,1,1,True
C[C@@H]1CN(C(=O)c2nc3ncccn3n2)C[C@H]1NC(=O)[C@@H]1CCOC1,1,1,True
C=CCN[C@@H]1CC[C@H]2CN(C(=O)c3ccc(CN(C)C)cc3)C[C@H]2C1,1,1,True
CC1(C)C[C@@H]1Cn1nnnc1N1CCC[C@@H](C[C@H]2CCOC2)C1,1,1,True
CCOc1cc(CN2C[C@H]3CN(C)C[C@@H](C2)O3)ccc1OCC,1,1,True
Cn1nnc(CN2CC[C@@H]2CNC(=O)[C@H]2CCC(=O)N2C)n1,1,1,True
CN(CC[C@H]1C[C@H]2CC[C@H]1C2)c1nc(-c2ccccc2)ns1,1,1,True
CNC(=O)CN1C[C@@H]2C(NC(=O)CNC(=O)Cc3ccccc3)[C@H]2C1,1,1,True
CCc1oncc1C(=O)N1C[C@@H]2C[C@@H]1C[C@@H](CNC(=O)C(N)=O)C2,1,1,True
CN(Cc1ccc(F)c(F)c1)[C@H]1CCN(C(=O)CC(N)=O)C1,1,1,True
C[C@H](NC(=O)[C@@H]1CCCc2nc[nH]c21)c1cccc(F)c1F,1,1,True
C[C@H]1C[C@H](CO)CN(c2nnnn2CCOC[C@H]2CCCO2)C1,1,1,True
C[C@@H](CC(C)(C)O)N[C@@H]1C[C@H]1c1cccc(F)c1,1,1,True
C[C@H](CCCCN)NC(=O)C(=O)N1C[C@@H]2COC[C@]2(C)C1,1,1,True
CC(C)CN1CC[C@H](NC(=O)[C@@H]2C[C@H]2c2cccnc2)C1,1,1,True
C[C@@H]1C[C@@H](c2cc(F)ccc2F)N(C(=O)NC[C@@H]2CCC[C@H]2C)C1,1,1,True
CC[C@@H]1OCC[C@H]1C(=O)NC1[C@H]2CN(Cc3nc(C)c(C)o3)C[C@H]12,1,1,True
C=CCCCCCN[C@H]1CC(=O)N([C@@H]2C[C@H]2C)C1,1,1,True
CCOc1c(C=O)ccc(=O)n1C[C@@H]1C[C@@]12CCO2,1,1,True
C[C@@H]1C[C@@H](C(=O)N2CC(NC(=O)c3ncnn3C)C2)CO1,1,1,True
CCCCOCCNC(=O)N1CCn2ncnc2C1,1,1,True
C=CCn1cc(C(=O)NC[C@@H]2CCCN([C@@H](C)COC)C2)nn1,1,1,True
Cn1nc2n(c1=O)CCC[C@@H]2N[C@@H]1COC[C@H]1O,1,1,True
CN1C[C@H](C(=O)N2CCC[C@H](c3nncn3C)C2)CC1=O,1,1,True
Cc1nc(CN[C@H]2C[C@@H](NC(=O)c3cnoc3C3CC3)C2)ncc1C,1,1,True
CC[C@H](NC)C(=O)N1CC[C@@H]2OCCO[C@H]2C1,1,1,True
